Hasheem Thabeet,7.3,OKC
Roy Hibbert,7.2,IND
Tyson Chandler,7.1,NYK
Marc Gasol,7.1,MEM
Omer Asik,7.0,HOU
Andrew Bogut,7.0,GSW
Pau Gasol,7.0,LAL
Ryan Hollins,7.0,LAC
Kosta Koufos,7.0,DEN
Brook Lopez,7.0,BRK
JaVale McGee,7.0,DEN
Donatas Motiejunas,7.0,HOU
Johan Petro,7.0,ATL
Robert Sacre,7.0,LAL
Andris Biedrins,6.11,GSW
Andray Blatche,6.11,BRK
Marcus Camby,6.11,NYK
Samuel Dalembert,6.11,MIL
Austin Daye,6.11,MEM
Tim Duncan,6.11,SAS
Festus Ezeli,6.11,GSW
Kevin Garnett,6.11,BOS
John Henson,6.11,MIL
Dwight Howard,6.11,LAL
Dwayne Jones,6.11,GSW
Perry Jones,6.11,OKC
DeAndre Jordan,6.11,LAC
Ian Mahinmi,6.11,IND
Joakim Noah,6.11,CHI
Larry Sanders,6.11,MIL
Tiago Splitter,6.11,SAS
Chris Andersen,6.10,MIA
Gustavo Ayon,6.10,MIL
Aron Baynes,6.10,SAS
Matt Bonner,6.10,SAS
Chris Bosh,6.10,MIA
Earl Clark,6.10,LAL
Ed Davis,6.10,MEM
Blake Griffin,6.10,LAC
Jordan Hill,6.10,LAL
Al Horford,6.10,ATL
Serge Ibaka,6.10,OKC
Jon Leuer,6.10,MEM
Rashard Lewis,6.10,MIA
Nazr Mohammed,6.10,CHI
Steve Novak,6.10,NYK
Lamar Odom,6.10,LAC
Kendrick Perkins,6.10,OKC
Vladimir Radmanovic,6.10,CHI
Anthony Randolph,6.10,DEN
Shavlik Randolph,6.10,BOS
Greg Smith,6.10,HOU
Amar'e Stoudemire,6.10,NYK
Ronny Turiaf,6.10,LAC
Ekpe Udoh,6.10,MIL
Chris Wilcox,6.10,BOS
Joel Anthony,6.9,MIA
Darrell Arthur,6.9,MEM
Jeff Ayres,6.9,IND
Carlos Boozer,6.9,CHI
Corey Brewer,6.9,DEN
Nick Collison,6.9,OKC
Chris Copeland,6.9,NYK
Mike Dunleavy,6.9,MIL
Kevin Durant,6.9,OKC
Taj Gibson,6.9,CHI
Jeff Green,6.9,BOS
Tyler Hansbrough,6.9,IND
Kris Humphries,6.9,BRK
Ersan Ilyasova,6.9,MIL
Terrence Jones,6.9,HOU
Carl Landry,6.9,GSW
David Lee,6.9,GSW
Kenyon Martin,6.9,NYK
Chandler Parsons,6.9,HOU
Tayshaun Prince,6.9,MEM
Zach Randolph,6.9,MEM
Josh Smith,6.9,ATL
Malcolm Thomas,6.9,CHI
David West,6.9,IND
Carmelo Anthony,6.8,NYK
Harrison Barnes,6.8,GSW
Brandon Bass,6.8,BOS
Shane Battier,6.8,MIA
Wilson Chandler,6.8,DEN
Luol Deng,6.8,CHI
Boris Diaw,6.8,SAS
Reggie Evans,6.8,BRK
Kenneth Faried,6.8,DEN
Paul George,6.8,IND
Gerald Green,6.8,IND
Udonis Haslem,6.8,MIA
Grant Hill,6.8,LAC
LeBron James,6.8,MIA
